id,main_topic,score,topic0_id,topic1_id,topic1,topic2_id,topic2,explaination
50,peace,1.0,34177,30719,peace,0,,"Fantasy evokes imagination, creativity, and escapism, while peace brings harmony, tranquility, and unity among individuals and communities."
49,happiness,1.0,34176,30734,happiness,0,,"Fantasy ignites imagination, sparks joy, fuels dreams, fosters creativity, encourages escapism, and cultivates hope for a brighter future."
56,health,0.95,34183,30784,health,0,,"Fantasy promotes creativity and imagination, enhancing mental health, reducing stress, and fostering resilience through escapism and storytelling."
48,personal growth,0.95,34175,30872,personal,30851,growth,"Fantasy inspires imagination and creativity, while personal growth fosters self-awareness, resilience, and a journey towards realizing one's potential."
60,educational aspirations,0.9,34187,33579,educational,32164,aspirations,"Fantasy sparks imagination, creativity fosters innovation, and educational aspirations inspire growth, opening pathways to knowledge and personal development."
53,equality,0.9,34180,30721,equality,0,,"Fantasy fosters imagination, creativity, and diverse worlds, while equality promotes fairness, inclusivity, and justice for all individuals."
61,career success,0.9,34188,30701,career,30801,success,"Imagination fuels innovation, determination drives achievement, collaboration enhances growth, and passion ignites purpose in fantasy and career journeys."
51,family,0.9,34178,30818,family,0,,"Fantasy fosters imagination, creativity, adventure, and wonder, while family brings love, support, connection, and shared experiences."
62,financial stability,0.85,34189,30907,financial,31030,stability,"Fantasy fosters creativity and imagination, while financial stability ensures security and freedom to pursue dreams and aspirations."
52,sustainability,0.85,34179,30761,sustainability,0,,"Fantasy encourages creativity and imagination, while sustainability promotes harmony with nature and responsible resource use for future generations."
59,community support,0.85,34186,30702,community,30889,support,"Fantasy fosters creativity, imagination, and escapism, while community support encourages connection, collaboration, and empowerment among individuals."
54,travel,0.8,34181,30777,travel,0,,"Fantasy evokes imagination, adventure, wonder, and escape, while travel brings exploration, discovery, culture, and connection to diverse experiences."
58,volunteering,0.8,34185,31663,volunteering,0,,"Fantasy fosters creativity and imagination, while volunteering promotes community, compassion, personal growth, and social connections."
55,adventure,0.75,34182,31094,adventure,0,,"Fantasy and adventure evoke imagination, exploration, friendship, bravery, magic, discovery, epic quests, wonder, heroism, and limitless possibilities."
57,cultural appreciation,0.7,34184,0,,30855,appreciation,"Fantasy enriches imagination, fosters creativity, builds community, promotes diversity, and encourages cultural exchange and understanding."
